Fototeny,sampateny
aby,abiaby
abily,"abiliana, fiabily, fiabiliana, habiliana, iabiliana, miabily, mpiabily"
abo,"aboabo, aboina, aboñabo, fanabo, haabo, haboa, haboana, habosana, mahaabo, manabo, miabo, mihaabo, piabo"
aboabo,"aboaboina, anaboaboana, fanaboabo, fanaboaboana, fiaboabo, fiaboaboana, iaboaboana, manaboabo, miaboabo, mihaboabo, mpanaboabo, mpiaboabo, piaboabo, voaboabo"
abobo,"aboboina, mañabobo"
abony,"abonibony, abonina, anaboniana, fanabony, fanaboniana, mahabony, mampanabony, manabony, mifanabony, mpanabony, voabony"
abosy,"abosina, anabosiana, fanabosy, fanabosiana, mahabosy, manabosy, mpanabosy, voabosy"
ada,"aada, fiadaña, mampiada, miada, mihamiada, piada"
adala,"adaladala, adalaina, adalana, ampanadala, anadalana, ankadala, fahadalana, fanadala, fanadalana, fankadala, fiadala, fiadalana, fihadala, hadala, hadalana, iadalana, mahadala, mampiadala, mampihadala, manadala, mankadala, miadala, mifankadala, mihadala, mpanadala, mpiadala, pañadala, pifañadala, voaadala, voadala"
adaladala,"adaladalaina, fahadaladalana, fiadaladalana, hadaladalana, iadaladalana, kiadaladala, mahadaladala, miadaladala"
adana,"adanadana, adanina, ampiadanina, anadanana, fiadana, fiadanana, iadanana, mahafiadana, mampiadana, manadana, miadana, mpiadana, tafaadana"
adanadana,"fanadanadanana, miadanadana"
adary,manadary
ady,"adiady, adiñe, adivina, ampiadiana, ampiadina, fampiadiana, fiady, fiadiana, fiadina, iadiana, mahady, mampiady, mampifanady, miady, mifampiady, mifanady, mpampiady, mpiady, pañady, voaady"
adidy,"adidina, anadidiana, fanadidy, fanadidiana, fiadidy, fiadidiana, iadidiana, mampanadidy, mampifanadidy, manadidy, miadidy, mifanadidy, mpanadidy, mpiadidy"
adina,"adinadina, adinina, anadinana, fanadina, fanadinana, madina, mampanadina, mampifanadina, manadina, miadina, mifanadina, mpanadina, mpiadina, voadina"
adisy,ampiaiñe
ado,miado
adokadoka,"aadokadoka, fiadokadohana, fiadokadoka, iadokadohana, miadokadoka, mpiadokadoka"
adonadona,"adonadonana, adonadonina, fiadonadona, fiadonadonana, iadonadonana, miadonadona, mpiadonadona"
adra,"adraina, fiadrà, fiadrana, iadrana, mampiadrà, miadrà, mpiadrà"
adrao,miadrao
afa,"fiafa, fiafana, iafana, miafa, miafana"
afaka,"afahana, afahina, afakafaka, ahafahana, anafahana, fahafahana, fanafahana, fanafaka, iafahana, mahafaka, mampanafaka, mampifanafaka, manafaka, miafaka, mifanafaka, mpanafaka"
afake,"mahaafake, mampañafake, miafake, mifañafake, mihaafake, pañafake, piafake, pifañafake"
afana,"afanana, anafanana, fanafana, fanafanana, fiafana, fiafanana, iafanana, mampanafana, mampifanafana, manafana, miafana, mifanafana, mpanafana, voafana"
afatra,afatrafatra
afatrafatra,"anafatrafarana, fiafatrafarana, fiafatrafatra, manafatrafatra, miafatrafatra, mpiafatrafatra"
afera,aferafera
afy,miafy
afina,"afenina, afinafina, anafenana, fanafenana, fanafina, fiafenana, fiafina, iafenana, mahafina, mampanafina, mampiafina, mampifanafina, manafina, miafina, mifanafina, mpanafina, mpiafina, voafina"
afinafina,"afinafenina, miafinafina"
afitra,"aferina, afitrafitra, anaferana, fiaferana, fiafitra, iaferana, mahafitra, mampiafitra, manafitra, miafitra, mpiafitra, voafitra"
afo,kiafoafo
afokafoka,"fafokafohana, fiafokafohana, fiafokafoka, miafokafoka, mpiafokafoka"
afona,"afonina, anafonana, iafonana, manafona, miafona"
afonafona,"fiafonafona, fiafonafonana, miafonafona, mpiafonafona"
afovoany,"afovoanina, anafovoanana, fanafovoanana, fanafovoany, manafovoany"
ahana,"ahanahana, anahanana, fanahana, fanahanana, fiahana, fiahanana, iahanana, manahana, miahana, mpanahana, mpiahana, tafahana, tafahana"
ahanahana,"ahanahanina, fiahanahana, fiahanahanana, miahanahana"
ahao,miahao
ahatra,miahatra
ahe,"fañahe, mahemahe, mampiaheahe"
ahy,iahiana
ahy,"ahiahy, ahina, anahiana, fanahy, fanahiana, fiahy, fiahiana, manahy, miahy, mpanahy, mpiahy, voahy"
ahiahy,"iahiahiana, mampiahiahy, mpiahiahy"
ahiahy,"ahiahina, ahihina, fiahiahy, fiahiahiana, mampanahiahy, miahiahy"
aho,"ahoaho, ahoina, ahoizana"
ahoaho,"ahoahoina, fiahoahoana, iahoahoana, mpiahoaho"
ahoaho,manahoaho
ahoana,manahoana
aholo,manaholo
ahona,"mampanahona, mampifanahona, mifanahona"
ahona,"ahonahona, anahonana, fanahona, fanahonana, fiahona, fiahonana, iahonana, mahahona, manahona, miahona, mpanahona, mpiahona, tafahona"
ahonahona,miahonahona
ahotra,"ahorina, ahotrahotra, fiahorana, fiahotra, iahorana, mahahotra, miahotra, mpiahotra, tafahotra, voahotra"
ahotrahotra,"fiahotrahorana, miahotrahotra"
ay,"mahaay, mihamiay, pampiay, piay"
ay,aay
aika,"aihina, aikaika, anaihana, fanaihana, fanaika, fiaihana, fiaika, iaihana, mahaika, maika, mampanaika, mampifanaika, manaika, miaika, mifanaika, mpanaika, mpiaika, tafaika, voaika"
aiky,"ampifanaikena, anaikena, fanaikena, fanaiky, fiaikena, fiaiky, fifanaikena, iaikena, ifanaikena, mampiaiky, mampifanaiky, manaiky, miaiky, mifanaiky, mpanaiky, mpiaiky, voaiky"
aina,ifampiaiña
aina,"ainaina, fampiaiña, fampiainana, fiaina, fiaina, fiainana, iainana, mahaina, mampiaina, miaina, mpiaina"
ainaina,miainaina
ainga,"aingainga, mampanainga, mampifanainga"
ainga,"aingaina, anaingana, fanainga, fanaingana, fiainga, fiaingana, iaingana, ingaina, manainga, miainga, mifanainga, mpanainga, mpiainga, tafaainga, voainga"
aingainga,"aingaingaina, aingaingana, fiaingaingana"
aingiaingy,mpiaingiaingy
aingiaingy,miaingiaingy
ainginaingina,"aainginaingina, fanainginaingina, fiainginaingenana, fiainginaingina, manainginaingina, mpanainginaingina, mpiainginaingina, tafaainginaingina"
aingitra,"aingitraingitra, fiaingitra, miaingitra, mpiaingitra"
aingitraingitra,miaingitraingitra
airaña,"añairañana, mañairaña"
aisy,aisiaisy
aisiaisy,"fiaisiaisy, fiaisiaisiana, iaisiaisiana, miaisiaisy, mpiaisiaisy"
aisotra,aisorina
aisotra,"anaisorana, iaisorana, manaisotra, miaisotra, voaisotra"
aito,manaito
aivana,mankaivana
aivoka,"anamaivohana, fanamaivohana, fanamaivoka, maivoka, manaivoka, mpanamaivoka"
aiza,"mankaiza, taiza"
aizana,"anaizanana, fanaizana, fanaizanana, manaizana, mifanaizana"
aizy,"maizy, manamaizy"
aizina,"fihamaizinana, mampanaizina, mifanaizina"
aizina,"aizinina, fanaizina, maizina, manaizina, voaizina"
ajima,"manajima, manjima"
ajo,mahajo
ajokajoka,"fiajokajohana, fiajokajoka, iajokajohana, miajokajoka, mpiajokajoka"
aka,"haka, mampaka, mampanaka, mampifanaka, mampivanaka, mifañampaka"
aka,"akana, ampakana, faka, fakana, maka, mifampaka, mpaka"
akà,"akaina, akakà, akavina, anakana, anakavana, fanakà, fanakana, fanakavana, fiakà, fiakavana, iakavana, manakà, miakà, mpanakà, mpiakà"
aka,mampaka
akaiky,"akaikena, akaikezina, akaikikaiky, ampifanakaikezina, anakaikezana, fanakaikezana, fanakaiky, fifanakaikezana, mampifanakaiky, manakaiky, mifanakaiky, mihakaiky, mpanakaiky, voakaiky"
akaikikaiky,mifanakaikikaiky
akakà,"fiakakà, fiakakana, iakakana, miakakà, mpiakakà"
akalana,anakalanana
akalana,"akalanina, manakalana, voakalana"
akana,"miakana, tafakana"
akanakana,"akanakanina, fiakanakana, fiakanakanana, miakanakana, mpiakanakana, tafakanakana"
akanga,"akangaina, akangakanga, anakangana, fanakanga, fanakangana, fiakanga, fiakangana, iakangana, mampanakanga, manakanga, miakanga, mifanakanga, mpanakanga, mpiakanga"
akañy,mekañy
akany,mifañakany
akanjo,"akanjoana, akanjoina, akanjokanjo, ampiakanjoana, ampiakanjoina, anakanjoana, fanakanjo, fanakanjoana, fiakanjo, fiakanjoana, iakanjoana, mahakanjo, mampiakanjo, manakanjo, miakanjo, mpanakanjo, mpiakanjo, pampiakanjo, piakanjo, tafakanjo, voakanjo"
akatra,"ampiakarana, ampiakarina, mampakatra"
akatra,"akarina, ampakarana, ampakarina, ampimakarina, fampakarana, fampakarana, fiakarana, fiakatra, iakarana, mampakatra, mampiakatra, miakatra, mpampakatra, mpiakatra, tafakatra, voakatra, voampakatra"
akatry,mañakatry
akatse,"aakatse, mahakatse, mampiakatse, mañakatse, miakatse, mihamiakatse, pañakatse, piakatse, tafakatse, voaakatse"
ake,"fiake, mampiake, miake"
akeky,anakekena
akeky,"akekena, akekezina, akekikeky, ampifanakekezina, anakekezana, fanakekena, fanakekezana, fanakeky, mampanakeky, mampifanakeky, manakeky, mifanakeky, mihakeky, mpanakeky, voakeky"
akenje,"mampiakenje, miakenje, piakenje, voaekenje"
akisa,
akisa,akisakisa
ako,"akoako, anakoana, fanako, fanakoana, manako, miako"
ako,miako
akoako,"fanakoakoana, manakoako"
akofa,manakofa
akora,"akoraina, anakorana, fanakora, fanakorana, mahakora, mampanakora, mampifanakora, manakora, mifanakora, mpanakora, voakora"
akoriasa,"akoriasaina, anakoriasana, fanakoriasana, fiakoriasana, iakoriasana, manakoriasa, miakoriasa, mikoriasa"
akotra,makotra
akotso,"akotsoina, anakotsoana, manakotso, miakotso, voakotso"
ala,"alamenga, ifanalana"
ala,"mianala, mpianala"
ala,"alaina, alana, ampañalaina, ampangala, ampiala, analana, angalana, fampangala, fampiala, fanala, fanala, fanala, fanalana, fanalana, fangalàna, fiala, fialana, fifanalana, ialana, mampañala, mampiala, manala, manala, miala, mifanala, mihamiala, mpanala, mpiala, pangala, piala, voala"
aladitra,aladirina
alahelo,"alahelohelo, alahelovana, ampalahelovana, ampalahelovina, fahalahelovana, falahelo, falahelovana, mafalahelo, mahafalahelo, malahelo, mampalahelo, mifampalahelo, palahelo"
alahelohelo,malahelohelo
alaka,alafana
alaka,"falaka, malaka, mpalaka"
alaka,mialaka
alakamo,alakamoina
alakasy,alakasina
alalana,"aalalana, alalanina, analalanana, fanalalana, fanalalanana, mampanalalana, mampifanalalana, manalalana, mifanalalana, mpanalalana, voalalana"
alanalana,"alanalanina, analanalanana, fanalanalana, fanalanalanana, fialanalana, fialanalanana, ialanalanana, manalanalana, mialanalana, mpanalanalana, mpialanalana, voalanalana"
alaotra,Talaotra
ale,"mañale, miale, mihaale"
alika,"alikaina, alikalika, analikana, fanalikana, fifañalika, mahaalika, mahalika, mampanalika, mampifañalika, manalika, mifañalika, mpanalika, pañalika, voafañalika"
alika,alikalika
alika,"fanalika, fialika"
alikalika,"fanalikalikana, fialikalihana, fialikalika, fialikalikana, ialikalihana, ialikalikana, mahalikalika, mialikalika, mialikalìka, mihalikalika, mpialikalika, voalikalika"
alimbolo,mialimbolo
alina,"alinina, fanalina, fanalinana, mahalina, mpanalina, tsialinalina"
alina,alinalina
alina,"analinana, fahalemana, fialemana, fialemana, fialina, fialinana, halemana, ialemana, ialinana, lahalina, mampanalina, mampifanalina, manalina, mialina, mialina, mifanalina, mihalina, mpialina, nankalina"
alinalina,"alinalemina, alinalinina, analinalinana, manalinalina"
alo,kialo
alo,"alozina, analozana, fanalozana, fialo, fialozana, ialozana, manalo, mialo, mpanalo, mpialo, voalo"
alo,"mampialo, mifampialo, pialo, pifampialo"
aloha,"fanalohany, taloha"
aloha,"alohaloha, analohana, angaloha, fanaloha, fanalohana, fialoha, ialohana, mahaloha, mampañaloha, manaloha, mihaaloha, mpanaloha, mpialoha, pañaloha, pialoha, voaloha, voalohany"
aloka,"mampanaloka, mampifanaloka, mifanaloka"
aloka,"aaloka, alofana, alokaloka, analofana, fanalofana, fialofana, fialoka, ialofana, maloka, manaloka, mialoka, mpanaloka, mpialoka, tafaloka, voaloka"
alokaloka,"alokalofana, ialokalofana, mialokaloka"
aloke,"aaloke, faaloke, mahaaloke, maloke, mampialoke, mañaloke, mialoke, mihamaloke, pialoke, pifampialoke, voaaloke"
alona,"alonina, fialona, fialonana, ialonana, mampialona, mialona, mifampialona, mpialona"
alona,"analonana, fanalona, fanalonana, manalona"
alotra,mampialotra
alotry,"mañalotry, mialotry"
amalona,"fanamalona, manamalona, mpanamalona"
amanamana,
amany,"amaniana, famany, famaniana, famaniana, mamany, mampamany, mifamany, mpamany, pamany, voamany"
amato,"amatomato, anamatosana, manamato, piamato"
ambaka,"ambakavaka, mampifanambaka"
ambàka,"ambakambàka, fiambaka, fiambakana, iambakana, miambaka, mpiambàka"
ambaka,"ambakaina, anambakana, fambaka, fanambaka, fanambakana, fifañambaka, mampañambaka, manambàka, mifañambaka, mpanambaka, pañambaka, pifañambaka, voambaka"
ambakambaka,miambakambaka
ambakavaka,miambakavaka
ambala,ambalambala
ambalambala,"ambalambalaina, fiambalambala, fiambalambalana, iambalambalana, miambalambala, mpiambalambala"
ambana,"mampanambana, mampifanambana, mifanambana"
ambana,"ambanambana, ambanana, anambanana, fanambana, fanambanana, mahambana, manambana, mpanambana, voambana"
ambane,"mahambane, mampañambane, mampiambane, mañambane, miambane, miambane, mifampañambane, mifañambane, mihaambane, mihambane, pañambane, piambane, pifampañambane, pifañambane, voambane"
ambany,iambaniana
ambany,"ambanimbany, ambanina, anambaniana, fahambaniana, fanambaniana, mahambany, mampanambany, mampifanambany, manambany, miambany, mifanambany, mpanambany, tambany, tambany, voambany"
ambara,"ambarambara, ampañambara, anambarana, fambara, fampañambara, fanambara, fanambarana, fifañambara, mampañambara, mampifanambara, manambara, mifampañambara, mifañambara, mpanambara, pañambara, pifampañambara, pifañambara, voambara"
ambaraka,
ambatra,"ambatrambatra, fiambarana, fiambatra, iambarana, miambatra, mpiambatra"
ambatrambatra,miambatrambatra
ambe,"aambe, faambe, mahambe, mampiambe, miambe, mifampiambe, mihamiambe, piambe, pifampiambe, voaambe"
ambezo,"ambezoina, fiambezo, fiambezoana, iambezoana, mahambezo, miambezo, mpiambezo, tambezo"
amby,ambiana
ambia,mañambia
ambina,ambinambina
ambina,"ambenana, fiambenana, fiambina, iambenana, mampanambina, mampiambina, mampifanambina, miambina, mifampiambina, mpiambina, voambina"
ambina,"ambinina, anambinana, fanambina, fanambinana, manambina, mifanambina, mpanambina"
ambo,
ambo,"haambo, hambosana"
amboa,"mampanamboa, mampifanamboa, mifanamboa"
amboa,"amboamboa, amboazina, anamboazana, fanamboa, fanamboazana, manamboa, mpanamboa"
amboa,mahamboa
ambolo,animboloana
ambolo,"amboloina, ambolombolo, anamboloana, fanambolo, fanamboloana, mahambolo, manambolo, manimbolo, mpanambolo, voambolo"
ambolombolo,manambolombolo
ambony,"ambonivony, fiamboniana, iamboniana, mampanambony, mampifanambony, miambony, mifañambony, pañambony, pifañambony"
ambony,mahaambony
ambony,"ambonimbony, ambonina, anamboniana, fahambony, fahamboniana, fanamboniana, manambony, mpanambony"
ambonimbony,fanambonimboniana
ambosy,"mampanambosy, mampifanambosy, mifanambosy"
ambosy,"ambosiana, ambosina, anambosiana, fambosy, fambosiana, fanambosy, fanambosiana, mahambosy, mambosy, manambosy, mpambosy, mpanambosy, voambosy"
amboze,"mahamboze, mañamboze, pañamboze"
amy,mankamy
amy,"anamiana, fanamiana"
amitramy,miamitramy
amoke,"mahaamoke, miamoke, mihaamoke"
ampaingo,miampaingo
ampala,"mañampala, pañampala"
ampala,"mahaampala, mihampala"
ampaly,"ampalesina, ampalimpaly, ampalina, anampalesana, anampaliana, fanampalesana, fanampaly, fanampaliana, mahampaly, manampaly, mpanampaly, voampaly"
ampanampana,"fiampanampanana, miampanampana"
ampanga,"anampangana, mampanampanga, mampiampanga, mampifanampanga, mifampiampanga, mifanampanga"
ampanga,"ampangaina, fiampanga, fiampangana, iampangana, mahampanga, miampanga, mpiampanga, voampanga"
ampangalainga,"miampangalainga, voampangalainga"
ampango,miampango
ampangoro,
ampatra,"famparana, miampatrampatra"
ampatra,"aampatra, amparina, ampatrampatra, anamparana, fanamparana, fanampatra, fiamparana, fiampatra, iamparana, lampatra, manampatra, miampatra, mpanampatra, mpiampatra, voampatra"
ampatse,"aampatse, faampatse, fiampatse, kiampatse, mahaampatse, mampiampatse, mañampatse, miampatse, mihamiampatse, pañampatse, piampatse, voaampatse"
ampe,"fañampe, mahampe, mampañampe, mampifañampe, mañampe, miampe, mifañampe, mihaampe, pañampe, pifañampe"
ampela,mahaampela
ampy,"fanampiny, fifanampiana, iampiana, mifanampy"
ampy,"ampiana, anampy, anampiana, fahampiana, fanampy, fanampiana, ifanampiana, mahampy, manampy, miampy, mpanampy, mpanampy"
ampify,"ampifina, anampifiana, fanampify, fanampifiana, fiampify, fiampifiana, iampifiana, manampify, miampify, mpanampify, mpiampify, tafampify, voampify"
ampirina,iampirimana
ampirina,"ampirimana, ampirimina, ampirinana, ampirinina, anampirimana, fampirimana, fampirina, fanampirimana, fanampirina, fiampirina, mahampirina, mampirina, manampirina, miampirina, mimpirina, mpampirina, mpanampirina, mpiampirina, voampirina"
ampitra,"iampirana, miampitra, tafampitra"
ampo,mahaampo
ampo,"anampoizana, mahampo, mihaampo"
ampoasa,"ampoasaina, ampoasana, anampoasana, fampoasa, fampoasana, fanampoasa, fanampoasana, mampoasa, manampoasa, mpampoasa, mpanampoasa, voampoasa"
ampofo,"ampofoina, fiampofoana, iampofoana, mahampofo, mpiampofo, voampofo"
ampoka,"ampohana, anampohana, fiampoka, mahampoka, miampoka, voampoka"
ampombo,ampomboina
amponga,"anampongana, mampanamponga, mampifanamponga, mifanamponga"
amponga,"ampongaina, manamponga"
ana,"miana, mianana"
ana,pana
anadahy,"fianadahiana, ianadahiana, mpianadahy"
anaka,"anakanaka, ianahana"
anaka,"fananahana, fianahana, mianaka, mpianaka"
anakanaka,kianakanaka
anakandro,"anakandroana, anakandroina"
anakavy,"fianakaviana, mianakavy, mpianakavy"
anake,"ampianake, mahanake, mianake, pianake"
anaky,"mananganaky, mianaky"
anana,hanana
anana,"ananana, ananana, fanana, fananana, manana, mpanana"
anandro,"fifanandro, fifanandroana, ifanandroana, mifanandro"
anaty,anatiny
anatra,"ianarana, ianarana"
anatra,"ampianarana, ampianarina, ananarana, anarina, fampianarana, fampianatra, fananarana, fananatra, fianarana, fianatra, mampananatra, mampianatra, mampifananatra, mananatra, mianatra, mpampianatra, mpananatra, mpianatra, voanatra"
anatse,"ampañanatse, mampianatse, mianatse, mifampianatse, pampianatse, pañanatse, pianatse, pifampianatse, pifañanatse, voaanatse"
anatsimo,anatsinomana
anatsimo,"anatsinomina, fianatsimo, fianatsinomana, ianatsinomana, mianatsimo, mpianatsimo"
anavaratra,"anavaratina, fianavaratra, ianavaratana, mianavaratra, mpianavaratra"
andala,andalasana
andala,"anandalasana, andalasina, fanandalasana, manandala"
andalana,"anandalanana, andalandalana, andalanina, fanandalana, fanandalanana, fiandalana, fiandalanana, iandalanana, manandalana, miandalana"
andalandalana,miandalandalana
andany,"iandaniana, mampiandany, miandany"
andevo,iandevozana
andevo,"anandevozana, andevoina, andevozina, fahandevozana, fanandevo, fanandevozana, fiandevo, mahandevo, manandevo, miandevo, mifanandevo, mpanandevo, mpiandevo"
ando,"ampandoana, ampandoina, andoando, fampando, fampandoana, fiando, hamandoa, mahamando, mahampando, mampando, mando, mihamando, mpampando"
andoha,mpiandoha
andra,fandramanana
andra,"andraina, fiandra, fiandrana, iandrana, mahandra, miandra, mpiandra, tafaandra"
andraikitra,"fiandraikitra, iandraiketana, miandraikitra, mpiandraikitra"
andraka,miandraka
andraka,mandraka
andrana,"andranandranina, fandrama"
andrana,"anandramana, andramana, fanandramana, fanandrana, fiandranandrana, fiandranandranana, mahandranandrana, manandrana, mpanandrana, voandrana"
andranandrana,mitanandranandrana
andrandra,"anandrandra, anandrandrana, andrandraina, fanandrandrana, fiandrandra, fiandrandrana, iandrandrana, mahandrandra, manandrandra, miandrandra, mpanandrandra, mpiandrandra, voandrandra"
andravana,iandravana
andravana,"fiandravana, fiandravanana, iandravanana, miandravana, mpiandravana"
andrefana,"andrefandrefana, ankandrefana"
andrendry,handrendriana
andry,"andriandry, fampandriana, fiandry, fiandry, fiandry, fifampiandrasana, tafandriana, voandry"
andry,fandry
andry,"ampandriana, andriana, fandriana, mampandry, mandry, mpandry, tafandry"
andry,"andrasana, andrazana, fiandrasana, iandrasana, mahandry, mampiandry, miandry, mifampiandry, mpiandry, voaandry"
andriana,"andriambavirano, anrianina, handrianana"
andriana,"anandrianana, andriandriana, andrianina, fahandrianana, fanandriana, fanandrianana, fiandriana, fiandrianana, mahandriana, mampanandriana, mampifanandriana, manandriana, miandriana, mifanandriana, mpanandriana"
