,sampateny,lettre
aby,abiaby,A
abily,"abiliana, fiabily, fiabiliana, habiliana, iabiliana, miabily, mpiabily",A
abo,"aboabo, aboina, aboñabo, fanabo, haabo, haboa, haboana, habosana, mahaabo, manabo, miabo, mihaabo, piabo",A
aboabo,"aboaboina, anaboaboana, fanaboabo, fanaboaboana, fiaboabo, fiaboaboana, iaboaboana, manaboabo, miaboabo, mihaboabo, mpanaboabo, mpiaboabo, piaboabo, voaboabo",A
abobo,"aboboina, mañabobo",A
abony,"abonibony, abonina, anaboniana, fanabony, fanaboniana, mahabony, mampanabony, manabony, mifanabony, mpanabony, voabony",A
abosy,"abosina, anabosiana, fanabosy, fanabosiana, mahabosy, manabosy, mpanabosy, voabosy",A
ada,"aada, fiadaña, mampiada, miada, mihamiada, piada",A
adala,"adaladala, adalaina, adalana, ampanadala, anadalana, ankadala, fahadalana, fanadala, fanadalana, fankadala, fiadala, fiadalana, fihadala, hadala, hadalana, iadalana, mahadala, mampiadala, mampihadala, manadala, mankadala, miadala, mifankadala, mihadala, mpanadala, mpiadala, pañadala, pifañadala, voaadala, voadala",A
adaladala,"adaladalaina, fahadaladalana, fiadaladalana, hadaladalana, iadaladalana, kiadaladala, mahadaladala, miadaladala",A
adana,"adanadana, adanina, ampiadanina, anadanana, fiadana, fiadanana, iadanana, mahafiadana, mampiadana, manadana, miadana, mpiadana, tafaadana",A
adanadana,"fanadanadanana, miadanadana",A
adary,manadary,A
ady,"adiady, adiñe, adivina, ampiadiana, ampiadina, fampiadiana, fiady, fiadiana, fiadina, iadiana, mahady, mampiady, mampifanady, miady, mifampiady, mifanady, mpampiady, mpiady, pañady, voaady",A
adidy,"adidina, anadidiana, fanadidy, fanadidiana, fiadidy, fiadidiana, iadidiana, mampanadidy, mampifanadidy, manadidy, miadidy, mifanadidy, mpanadidy, mpiadidy",A
adina,"adinadina, adinina, anadinana, fanadina, fanadinana, madina, mampanadina, mampifanadina, manadina, miadina, mifanadina, mpanadina, mpiadina, voadina",A
adisy,ampiaiñe,A
ado,miado,A
adokadoka,"aadokadoka, fiadokadohana, fiadokadoka, iadokadohana, miadokadoka, mpiadokadoka",A
adonadona,"adonadonana, adonadonina, fiadonadona, fiadonadonana, iadonadonana, miadonadona, mpiadonadona",A
adra,"adraina, fiadrà, fiadrana, iadrana, mampiadrà, miadrà, mpiadrà",A
adrao,miadrao,A
afa,"fiafa, fiafana, iafana, miafa, miafana",A
afaka,"afahana, afahina, afakafaka, ahafahana, anafahana, fahafahana, fanafahana, fanafaka, iafahana, mahafaka, mampanafaka, mampifanafaka, manafaka, miafaka, mifanafaka, mpanafaka",A
afake,"mahaafake, mampañafake, miafake, mifañafake, mihaafake, pañafake, piafake, pifañafake",A
afana,"afanana, anafanana, fanafana, fanafanana, fiafana, fiafanana, iafanana, mampanafana, mampifanafana, manafana, miafana, mifanafana, mpanafana, voafana",A
afatra,afatrafatra,A
afatrafatra,"anafatrafarana, fiafatrafarana, fiafatrafatra, manafatrafatra, miafatrafatra, mpiafatrafatra",A
afera,aferafera,A
afy,miafy,A
afina,"afenina, afinafina, anafenana, fanafenana, fanafina, fiafenana, fiafina, iafenana, mahafina, mampanafina, mampiafina, mampifanafina, manafina, miafina, mifanafina, mpanafina, mpiafina, voafina",A
afinafina,"afinafenina, miafinafina",A
afitra,"aferina, afitrafitra, anaferana, fiaferana, fiafitra, iaferana, mahafitra, mampiafitra, manafitra, miafitra, mpiafitra, voafitra",A
afo,kiafoafo,A
afokafoka,"fafokafohana, fiafokafohana, fiafokafoka, miafokafoka, mpiafokafoka",A
afona,"afonina, anafonana, iafonana, manafona, miafona",A
afonafona,"fiafonafona, fiafonafonana, miafonafona, mpiafonafona",A
afovoany,"afovoanina, anafovoanana, fanafovoanana, fanafovoany, manafovoany",A
ahana,"ahanahana, anahanana, fanahana, fanahanana, fiahana, fiahanana, iahanana, manahana, miahana, mpanahana, mpiahana, tafahana, tafahana",A
